id;id_line;plant;shop;date_of_validation;validation_result;visual_inspection;oem_checklist;cable_certification_for_relevant_cabling;number_of_profinet_devices;number_of_devices;additional_checks_for_frame_errors;number_of_scp;max_traffic_load_on_the_network;max_traffic_load_on_the_network_percent;max_profinet_traffic_load_on_the_network;max_profinet_traffic_load_on_the_network_percent;plc_count;rings_count
108;105;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;91;91;;2;15.831;7.9155;15.659;7.8295;2;1
109;106;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;155;155;;4;18.352;9.176;18.152;9.076;4;2
110;107;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;213;213;;4;27.329;13.6645;27.19;13.595;4;1
111;108;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;99;99;;1;38.843;19.4215;38.693;19.3465;1;1
112;109;P;BODY;T006;PASS;Yes - Pass;Pass;;63;63;;1;21.904;10.952;21.702;10.851;1;1
113;110;P;BODY;T006;PASS;Yes - Pass;Pass;;60;60;;2;11.7;5.85;11.599;5.7995;2;1
115;112;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;28;28;;1;11.7;5.85;11.476;5.738;1;1
116;113;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;26;26;;1;9.976;4.988;9.713;4.8565;1;1
117;114;P;BODY;T006;PASS;Yes - Fail;Pass;Yes - Pass;36;36;;1;20.188;10.094;20.07;10.035;1;1
120;117;P;BODY;T006;PASS;Yes - Pass;Pass;;112;112;;2;33.521;16.7605;33.079;16.5395;2;1
121;118;P;BODY;T006;PASS;Yes - Pass;Pass;;101;101;;2;34.057;17.0285;33.655;16.8275;2;1
122;119;P;BODY;T006;PASS;Yes - Pass;Pass;Yes - Pass;213;213;;2;27.831;13.9155;27.407;13.7035;2;1
123;120;P;BODY;T006;PASS;Yes - Pass;Pass;Yes - Pass;99;99;;1;22.182;11.091;21.976;10.988;1;0
124;121;P;BODY;T006;PASS;Yes - Pass;Pass;Yes - Pass;73;73;;1;19.409;9.7045;19.275;9.6375;1;1
